Read_ID,Length,GC_Content,Average_Quality
SRR390728.433,36,50.0,24.77777777777778
SRR390728.434,36,52.77777777777778,24.444444444444443
SRR390728.435,36,44.44444444444444,21.88888888888889
SRR390728.436,36,61.111111111111114,24.583333333333332
SRR390728.437,36,50.0,24.944444444444443
SRR390728.438,36,61.111111111111114,24.333333333333332
SRR390728.439,36,69.44444444444444,24.666666666666668
SRR390728.440,36,52.77777777777778,24.805555555555557
SRR390728.441,36,38.88888888888889,24.86111111111111
SRR390728.442,36,61.111111111111114,23.88888888888889
SRR390728.443,36,55.55555555555556,24.75
SRR390728.444,36,61.111111111111114,24.61111111111111
SRR390728.445,36,36.11111111111111,24.75
SRR390728.446,36,52.77777777777778,23.666666666666668
SRR390728.447,36,41.66666666666667,24.916666666666668
SRR390728.448,36,36.11111111111111,21.305555555555557
SRR390728.449,36,44.44444444444444,23.27777777777778
SRR390728.450,36,44.44444444444444,24.88888888888889
SRR390728.451,36,55.55555555555556,23.38888888888889
SRR390728.452,36,52.77777777777778,24.666666666666668
SRR390728.453,36,38.88888888888889,24.72222222222222
SRR390728.454,36,52.77777777777778,24.72222222222222
SRR390728.455,36,38.88888888888889,24.805555555555557
SRR390728.456,36,47.22222222222222,23.555555555555557
SRR390728.457,36,44.44444444444444,24.47222222222222
SRR390728.458,36,36.11111111111111,24.02777777777778
SRR390728.459,36,38.88888888888889,24.194444444444443
SRR390728.460,36,38.88888888888889,24.97222222222222
SRR390728.461,36,41.66666666666667,24.694444444444443
SRR390728.462,36,41.66666666666667,24.583333333333332
SRR390728.463,36,47.22222222222222,24.916666666666668
SRR390728.464,36,44.44444444444444,24.72222222222222
SRR390728.465,36,47.22222222222222,24.88888888888889
SRR390728.466,36,47.22222222222222,24.61111111111111
SRR390728.467,36,36.11111111111111,24.083333333333332
SRR390728.468,36,58.333333333333336,24.38888888888889
SRR390728.469,36,58.333333333333336,23.13888888888889
SRR390728.470,36,58.333333333333336,23.47222222222222
SRR390728.471,36,58.333333333333336,23.52777777777778
SRR390728.472,36,66.66666666666666,24.27777777777778
SRR390728.473,36,69.44444444444444,24.444444444444443
SRR390728.474,36,50.0,23.77777777777778
SRR390728.475,36,36.11111111111111,23.305555555555557
SRR390728.476,36,47.22222222222222,24.38888888888889
SRR390728.477,36,75.0,22.0
SRR390728.478,36,75.0,23.805555555555557
